File,RMSE
15o27003,0.090295
15o27006,0.155536
15o27011,0.085513
15o27019,0.094056
15o27026,0.115229
15o27029,0.127114
15o27032,0.104513
15o28007,0.190819
15o28010,0.173974
15o28013,0.116392
15n03003,0.341908
15n03006,0.366466
15n03009,0.415276
15n03012,0.40729
15n03015,0.146029
15n03018,0.073247
15n03026,0.17617
15n03029,0.106919
15n04003,0.214485
15n04007,0.594997
15n04010,0.102325
15n04015,0.164197
15n04018,0.26542
15n04021,0.311786
15n04024,0.151126
15n04027,0.318624
15n04030,0.181327
15n09003,0.103025
15n09006,0.139132
15n20006,0.079276
15n20009,0.115089
15n20013,0.098073
15n24006,0.182862
15n24011,0.219892
15n24014,0.110365
